energy (keV),flux (keV^-1 cm^-2 s^-1)
43.0,5253793800.923688
44.0,5253793800.923688
44.0,5289351830.077998
45.0,5289351830.077998
45.0,5255559690.145125
46.0,5255559690.145125
46.0,5336009587.83888
47.0,5336009587.83888
47.0,5338943401.160331
48.0,5338943401.160331
48.0,5281567765.418544
49.0,5281567765.418544
49.0,5266582728.47648
50.0,5266582728.47648
50.0,5311631400.275752
51.0,5311631400.275752
51.0,5231627644.714069
52.0,5231627644.714069
52.0,5192400198.384676
53.0,5192400198.384676
53.0,5216046765.15707
54.0,5216046765.15707
54.0,5126561841.11024
55.0,5126561841.11024
55.0,5075463221.017531
56.0,5075463221.017531
56.0,5086851081.672985
57.0,5086851081.672985
57.0,40180183367.48592
58.0,40180183367.48592
58.0,4932616227.451858
59.0,4932616227.451858
59.0,66872463025.83602
60.0,66872463025.83602
60.0,4876424689.751937
61.0,4876424689.751937
61.0,4768969339.369157
62.0,4768969339.369157
62.0,4761822420.30924
63.0,4761822420.30924
63.0,4698345647.264242
64.0,4698345647.264242
64.0,4592953204.929991
65.0,4592953204.929991
65.0,4527150446.080209
66.0,4527150446.080209
66.0,11481470268.240723
67.0,11481470268.240723
67.0,18300424527.805824
68.0,18300424527.805824
68.0,4347912466.10809
69.0,4347912466.10809
69.0,10265646434.152536
70.0,10265646434.152536
70.0,3106663975.1123633
71.0,3106663975.1123633
71.0,3088437029.5909014
72.0,3088437029.5909014
72.0,3118472545.1496835
73.0,3118472545.1496835
73.0,3101172754.215152
74.0,3101172754.215152
74.0,3043046239.61154
75.0,3043046239.61154
75.0,3067262758.3213477
76.0,3067262758.3213477
76.0,3045923836.7111683
77.0,3045923836.7111683
77.0,2987830800.710278
78.0,2987830800.710278
78.0,3007118678.4256597
79.0,3007118678.4256597
79.0,2982486102.4261146
80.0,2982486102.4261146
80.0,2924084234.0247507
81.0,2924084234.0247507
81.0,2895742355.243568
82.0,2895742355.243568
82.0,2910453679.890011
83.0,2910453679.890011
83.0,2852174136.915324
84.0,2852174136.915324
84.0,2822118705.272999
85.0,2822118705.272999
85.0,2833798321.9529347
86.0,2833798321.9529347
86.0,2776675043.588176
87.0,2776675043.588176
87.0,2745515253.105168
88.0,2745515253.105168
88.0,2754407688.2349286
89.0,2754407688.2349286
89.0,2727066990.9679904
90.0,2727066990.9679904
90.0,2667210942.958003
91.0,2667210942.958003
91.0,2674101647.806658
92.0,2674101647.806658
92.0,2645572010.269105
93.0,2645572010.269105
93.0,2587911482.584649
94.0,2587911482.584649
94.0,2593125365.224791
95.0,2593125365.224791
95.0,2563658700.419267
96.0,2563658700.419267
96.0,2508526267.8702674
97.0,2508526267.8702674
97.0,2477925203.958364
98.0,2477925203.958364
98.0,2483056590.528231
99.0,2483056590.528231
99.0,2429656485.058933
100.0,2429656485.058933
100.0,2399186323.5011873
101.0,2399186323.5011873
101.0,2403103359.636356
102.0,2403103359.636356
102.0,2351472997.278369
103.0,2351472997.278369
103.0,2321308018.672483
104.0,2321308018.672483
104.0,2324193075.803487
105.0,2324193075.803487
105.0,2297472254.9329267
106.0,2297472254.9329267
106.0,2244820283.1257186
107.0,2244820283.1257186
107.0,2247066822.6529045
108.0,2247066822.6529045
108.0,2220336029.764125
109.0,2220336029.764125
109.0,2169912356.143727
110.0,2169912356.143727
110.0,2171362627.2203255
111.0,2171362627.2203255
111.0,2144926096.7290335
112.0,2144926096.7290335
112.0,2096741099.9521368
113.0,2096741099.9521368
113.0,2069552810.7080643
114.0,2069552810.7080643
114.0,2071726081.6239874
115.0,2071726081.6239874
115.0,2025887125.5008123
116.0,2025887125.5008123
116.0,1999184728.2627456
117.0,1999184728.2627456
117.0,2000731689.410767
118.0,2000731689.410767
118.0,1957044865.9156227
119.0,1957044865.9156227
119.0,1930963539.9359403
120.0,1930963539.9359403
120.0,1932294186.3339012
121.0,1932294186.3339012
121.0,1909180610.5061557
122.0,1909180610.5061557
122.0,1864742212.8845441
123.0,1864742212.8845441
123.0,1865890650.119569
124.0,1865890650.119569
124.0,1842984877.7392485
125.0,1842984877.7392485
125.0,1800914511.1286218
126.0,1800914511.1286218
126.0,1801157591.9964354
127.0,1801157591.9964354
127.0,1779248739.1584656
128.0,1779248739.1584656
128.0,1738965062.1726053
129.0,1738965062.1726053
